connectionsCount,experienceCount,educationCount,volunteerCount,recommendationsCount,honorsCount,courseCount,projectsCount,testCount,publicationCount,bgImage,skillsCount,label
79,0,2,0,0,0,0,0,0,0,0,3,0
500,1,4,0,0,0,0,0,0,0,0,13,0
108,1,1,0,0,0,0,0,0,0,0,4,0
500,2,3,1,2,2,0,6,0,0,0,25,0
500,14,0,0,1,0,0,0,0,1,1,0,0
500,0,2,4,0,0,3,0,0,0,1,23,0
63,0,3,0,0,0,0,0,0,0,0,21,0
500,7,2,0,0,1,0,8,0,0,0,44,0
84,1,3,0,0,0,0,0,0,0,0,5,0
237,1,3,0,1,0,1,4,2,0,0,10,0
110,3,2,0,0,1,0,1,0,0,0,17,0
500,3,2,0,0,0,0,4,0,0,0,26,0
500,3,3,1,0,0,0,1,0,0,1,15,0
500,7,2,0,1,3,1,1,0,1,0,16,0
500,4,3,1,0,1,0,2,1,3,0,34,0
500,3,3,0,0,4,0,0,0,0,0,12,0
500,4,2,0,2,0,0,0,0,0,0,13,0
500,2,4,1,0,2,26,3,0,1,1,13,0
36,1,2,0,0,0,0,0,0,0,0,7,0
346,7,2,0,0,0,0,0,0,0,0,18,0
500,2,3,0,6,0,0,0,0,0,0,30,0
166,1,3,0,0,0,0,0,0,0,0,27,0
75,0,2,0,0,0,0,0,0,0,0,5,0
500,3,3,0,0,0,20,3,0,0,0,24,0
500,1,2,0,0,5,0,7,0,0,0,22,0
500,3,2,0,1,0,0,0,0,0,1,27,0
500,1,2,0,1,0,0,1,0,0,1,31,0
224,3,2,0,0,0,0,0,0,0,0,8,0
500,2,4,0,1,0,0,0,0,0,1,31,0
380,2,1,0,0,0,0,1,0,0,0,9,0
500,1,2,0,1,1,2,7,0,0,0,22,0
500,2,2,0,0,0,0,0,0,0,0,11,0
500,3,2,0,0,0,0,0,0,3,1,26,0
213,1,2,0,0,0,0,0,0,0,0,0,0
286,1,3,0,0,0,0,0,0,0,0,15,0
